pmid,title,year,journal,doi,sources,source_count
32367751,,,,,C4_endothelium,1
32368948,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
32379938,,,,,B3_stroma,1
32386281,,,,,D3_full_thickness_multilayer,1
32386811,,,,,C4_endothelium,1
32391399,,,,,C4_endothelium,1
32461427,,,,,C4_endothelium,1
32462201,,,,,B3_stroma,1
32467448,,,,,C4_endothelium,1
32482960,,,,,C4_endothelium,1
32488653,,,,,C4_endothelium,1
32495687,,,,,C4_endothelium,1
32504140,,,,,B3_stroma;D3_full_thickness_multilayer,2
32504216,,,,,B3_stroma;D3_full_thickness_multilayer,2
32518325,,,,,A3_epithelium_limbus,1
32525050,,,,,B3_stroma,1
32525919,,,,,C4_endothelium,1
32526297,,,,,B3_stroma;D3_full_thickness_multilayer,2
32542596,,,,,B3_stroma,1
32542606,,,,,B3_stroma,1
32542609,,,,,B3_stroma,1
32548957,,,,,A3_epithelium_limbus,1
32552630,,,,,C4_endothelium,1
32558727,,,,,A3_epithelium_limbus,1
32559566,,,,,B3_stroma,1
32561484,,,,,C4_endothelium,1
32565111,,,,,B3_stroma,1
32571170,,,,,B3_stroma,1
32572811,,,,,A3_epithelium_limbus,1
32578462,,,,,A3_epithelium_limbus,1
32599277,,,,,A3_epithelium_limbus,1
32603022,,,,,C4_endothelium,1
32622067,,,,,C4_endothelium,1
32624364,,,,,C4_endothelium,1
32632151,,,,,C4_endothelium,1
32652228,,,,,B3_stroma;D3_full_thickness_multilayer,2
32652796,,,,,B3_stroma;D3_full_thickness_multilayer,2
32656620,,,,,B3_stroma,1
32659279,,,,,C4_endothelium,1
32671048,,,,,A3_epithelium_limbus,1
32671296,,,,,C4_endothelium,1
32702529,,,,,B3_stroma,1
32710961,,,,,A3_epithelium_limbus,1
32721020,,,,,C4_endothelium,1
32740005,,,,,C4_endothelium,1
32743953,,,,,A3_epithelium_limbus;B3_stroma,2
32751471,,,,,B3_stroma,1
32769680,,,,,C4_endothelium,1
32781567,,,,,A3_epithelium_limbus,1
32796881,,,,,B3_stroma,1
32805263,,,,,C4_endothelium,1
32806330,,,,,A3_epithelium_limbus,1
32809519,,,,,B3_stroma,1
32816807,,,,,C4_endothelium,1
32821518,,,,,B3_stroma,1
32829179,,,,,B3_stroma,1
32840522,,,,,A3_epithelium_limbus,1
32841745,,,,,A3_epithelium_limbus;B3_stroma;C4_endothelium,3
32845370,,,,,C4_endothelium,1
32879903,,,,,C4_endothelium,1
32880043,,,,,C4_endothelium,1
32914554,,,,,C4_endothelium,1
32923740,,,,,C4_endothelium,1
32932393,,,,,B3_stroma,1
32944818,,,,,C4_endothelium,1
32947400,,,,,C4_endothelium,1
32965936,,,,,C4_endothelium,1
32965942,,,,,B3_stroma,1
32979396,,,,,B3_stroma,1
32987082,,,,,B3_stroma,1
33000763,,,,,D3_full_thickness_multilayer,1
33026526,,,,,C4_endothelium,1
33028837,,,,,A3_epithelium_limbus;B3_stroma,2
33033763,,,,,A3_epithelium_limbus,1
33037282,,,,,A3_epithelium_limbus;B3_stroma,2
33044374,,,,,C4_endothelium,1
33063960,,,,,C4_endothelium,1
33072921,,,,,C4_endothelium,1
33090421,,,,,A3_epithelium_limbus,1
33120629,,,,,C4_endothelium,1
33124201,,,,,C4_endothelium,1
33145281,,,,,A3_epithelium_limbus,1
33156081,,,,,C4_endothelium,1
33174770,,,,,B3_stroma,1
33199775,,,,,B3_stroma,1
33202433,,,,,C4_endothelium,1
33205604,,,,,A3_epithelium_limbus,1
33210832,,,,,A3_epithelium_limbus,1
33220237,,,,,A3_epithelium_limbus,1
33252385,,,,,C4_endothelium,1
33259606,,,,,C4_endothelium,1
33260686,,,,,C4_endothelium,1
33273801,,,,,B3_stroma;D3_full_thickness_multilayer,2
33288782,,,,,A3_epithelium_limbus;B3_stroma,2
33290318,,,,,C4_endothelium,1
33292650,,,,,B3_stroma,1
33316261,,,,,C4_endothelium,1
33322945,,,,,C4_endothelium,1
33332900,,,,,C4_endothelium,1
33348815,,,,,A3_epithelium_limbus,1
33398508,,,,,C4_endothelium,1
33405862,,,,,D3_full_thickness_multilayer,1
33432993,,,,,B3_stroma,1
33438666,,,,,D3_full_thickness_multilayer,1
33442494,,,,,D3_full_thickness_multilayer,1
33442495,,,,,B3_stroma,1
33448665,,,,,C4_endothelium,1
33448808,,,,,C4_endothelium,1
33455266,,,,,B3_stroma,1
33463211,,,,,B3_stroma;D3_full_thickness_multilayer,2
33463278,,,,,C4_endothelium,1
33497690,,,,,B3_stroma;D3_full_thickness_multilayer,2
33499155,,,,,C4_endothelium,1
33530972,,,,,A3_epithelium_limbus,1
33538123,,,,,B3_stroma;D3_full_thickness_multilayer,2
33542377,,,,,A3_epithelium_limbus;B3_stroma,2
33545838,,,,,A3_epithelium_limbus;B3_stroma,2
33545871,,,,,B3_stroma,1
33545886,,,,,B3_stroma,1
33577698,,,,,C4_endothelium,1
33586332,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
33591032,,,,,B3_stroma,1
33597192,,,,,C4_endothelium,1
33603277,,,,,A3_epithelium_limbus;B3_stroma,2
33613150,,,,,D3_full_thickness_multilayer,1
33652583,,,,,B3_stroma,1
33659091,,,,,B3_stroma;D3_full_thickness_multilayer,2
33659413,,,,,A3_epithelium_limbus,1
33676990,,,,,D3_full_thickness_multilayer,1
33680540,,,,,B3_stroma,1
33689606,,,,,A3_epithelium_limbus,1
33723638,,,,,C4_endothelium,1
33744867,,,,,C4_endothelium,1
33752960,,,,,B3_stroma,1
33760451,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
33765544,,,,,B3_stroma,1
33768381,,,,,A3_epithelium_limbus;C4_endothelium,2
33782482,,,,,B3_stroma;D3_full_thickness_multilayer,2
33791581,,,,,B3_stroma,1
33792036,,,,,B3_stroma;C4_endothelium,2
33807473,,,,,A3_epithelium_limbus,1
33825029,,,,,C4_endothelium,1
33855121,,,,,D3_full_thickness_multilayer,1
33859090,,,,,C4_endothelium,1
33859091,,,,,C4_endothelium,1
33860873,,,,,C4_endothelium,1
33881428,,,,,B3_stroma,1
33918484,,,,,A3_epithelium_limbus;B3_stroma,2
33937594,,,,,D3_full_thickness_multilayer,1
33939123,,,,,C4_endothelium,1
33955160,,,,,A3_epithelium_limbus;B3_stroma,2
33974922,,,,,B3_stroma,1
34007152,,,,,B3_stroma,1
34021240,,,,,B3_stroma,1
34033392,,,,,A3_epithelium_limbus,1
34033824,,,,,C4_endothelium,1
34036475,,,,,C4_endothelium,1
34049717,,,,,C4_endothelium,1
34061862,,,,,A3_epithelium_limbus;B3_stroma,2
34071909,,,,,B3_stroma,1
34103888,,,,,C4_endothelium,1
34119551,,,,,A3_epithelium_limbus;B3_stroma,2
34128385,,,,,B3_stroma,1
34128390,,,,,C4_endothelium,1
34139891,,,,,B3_stroma,1
34149247,,,,,A3_epithelium_limbus,1
34157770,,,,,C4_endothelium,1
34162235,,,,,D3_full_thickness_multilayer,1
34169467,,,,,C4_endothelium,1
34176916,,,,,C4_endothelium,1
34205905,,,,,A3_epithelium_limbus,1
34236908,,,,,C4_endothelium,1
34252899,,,,,B3_stroma;D3_full_thickness_multilayer,2
34277619,,,,,A3_epithelium_limbus,1
34296350,,,,,C4_endothelium,1
34302219,,,,,A3_epithelium_limbus,1
34311490,,,,,C4_endothelium,1
34327854,,,,,B3_stroma,1
34330126,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
34358452,,,,,C4_endothelium,1
34394861,,,,,B3_stroma,1
34400306,,,,,A3_epithelium_limbus;B3_stroma,2
34409228,,,,,C4_endothelium,1
34411973,,,,,C4_endothelium,1
34426617,,,,,C4_endothelium,1
34427240,,,,,C4_endothelium,1
34443612,,,,,A3_epithelium_limbus,1
34446144,,,,,A3_epithelium_limbus,1
34453784,,,,,B3_stroma;C4_endothelium,2
34457406,,,,,B3_stroma;D3_full_thickness_multilayer,2
34462473,,,,,B3_stroma,1
34483909,,,,,B3_stroma,1
34503013,,,,,D3_full_thickness_multilayer,1
34515678,,,,,A3_epithelium_limbus,1
34528228,,,,,C4_endothelium,1
34529133,,,,,C4_endothelium,1
34537415,,,,,A3_epithelium_limbus;B3_stroma,2
34552187,,,,,C4_endothelium,1
34552942,,,,,A3_epithelium_limbus,1
34560063,,,,,B3_stroma,1
34568299,,,,,A3_epithelium_limbus,1
34569342,,,,,C4_endothelium,1
34572321,,,,,A3_epithelium_limbus,1
34576227,,,,,A3_epithelium_limbus,1
34592226,,,,,B3_stroma,1
34620226,,,,,A3_epithelium_limbus,1
34636236,,,,,B3_stroma,1
34642840,,,,,D3_full_thickness_multilayer,1
34647960,,,,,C4_endothelium,1
34665231,,,,,B3_stroma,1
34665455,,,,,B3_stroma;D3_full_thickness_multilayer,2
34673229,,,,,D3_full_thickness_multilayer,1
34677503,,,,,B3_stroma;D3_full_thickness_multilayer,2
34684011,,,,,D3_full_thickness_multilayer,1
34713598,,,,,B3_stroma,1
34736886,,,,,B3_stroma;C4_endothelium,2
34743100,,,,,C4_endothelium,1
34759199,,,,,C4_endothelium,1
34765815,,,,,C4_endothelium,1
34839334,,,,,C4_endothelium,1
34854919,,,,,B3_stroma,1
34855836,,,,,C4_endothelium,1
34857261,,,,,D3_full_thickness_multilayer,1
34864794,,,,,C4_endothelium,1
34871568,,,,,C4_endothelium,1
34894951,,,,,B3_stroma,1
34903788,,,,,A3_epithelium_limbus,1
34923312,,,,,A3_epithelium_limbus;B3_stroma,2
34935910,,,,,B3_stroma,1
34971485,,,,,C4_endothelium,1
34976970,,,,,B3_stroma,1
34993214,,,,,B3_stroma,1
35000055,,,,,C4_endothelium,1
35002638,,,,,B3_stroma,1
35006715,,,,,D3_full_thickness_multilayer,1
35006734,,,,,A3_epithelium_limbus,1
35006959,,,,,B3_stroma,1
35007519,,,,,B3_stroma,1
35007520,,,,,A3_epithelium_limbus,1
35011740,,,,,B3_stroma,1
35014304,,,,,B3_stroma,1
35019286,,,,,A3_epithelium_limbus,1
35020537,,,,,B3_stroma,1
35020979,,,,,A3_epithelium_limbus,1
35021320,,,,,B3_stroma,1
35031282,,,,,B3_stroma,1
35056129,,,,,C4_endothelium,1
35074340,,,,,B3_stroma,1
35093391,,,,,B3_stroma,1
35120168,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
35128757,,,,,B3_stroma,1
35144350,,,,,C4_endothelium,1
35184124,,,,,C4_endothelium,1
35186691,,,,,A3_epithelium_limbus,1
35187447,,,,,C4_endothelium,1
35200405,,,,,B3_stroma,1
35202443,,,,,C4_endothelium,1
35224204,,,,,C4_endothelium,1
35229601,,,,,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3
35238557,,,,,C4_endothelium,1
35252778,,,,,D3_full_thickness_multilayer,1
35269891,,,,,A3_epithelium_limbus,1
35276182,,,,,D3_full_thickness_multilayer,1
35306228,,,,,B3_stroma,1
35337520,,,,,D3_full_thickness_multilayer,1
35358736,,,,,D3_full_thickness_multilayer,1
35362956,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
35378880,,,,,A3_epithelium_limbus,1
35386466,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
35402662,,,,,B3_stroma,1
35409129,,,,,A3_epithelium_limbus,1
35439766,,,,,C4_endothelium,1
35456684,,,,,B3_stroma;D3_full_thickness_multilayer,2
35479406,,,,,A3_epithelium_limbus,1
35494441,,,,,B3_stroma,1
35528407,,,,,A3_epithelium_limbus;B3_stroma,2
35562005,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
35643198,,,,,B3_stroma,1
35645260,,,,,B3_stroma;D3_full_thickness_multilayer,2
35650323,,,,,A3_epithelium_limbus,1
35652475,,,,,C4_endothelium,1
35692510,,,,,B3_stroma,1
35721228,,,,,B3_stroma,1
35725168,,,,,B3_stroma,1
35741104,,,,,A3_epithelium_limbus;B3_stroma,2
35749016,,,,,C4_endothelium,1
35750044,,,,,A3_epithelium_limbus,1
35767274,,,,,A3_epithelium_limbus,1
35769102,,,,,A3_epithelium_limbus;B3_stroma,2
35771810,,,,,C4_endothelium,1
35798063,,,,,B3_stroma,1
35800407,,,,,B3_stroma,1
35802553,,,,,B3_stroma,1
35810243,,,,,C4_endothelium,1
35811904,,,,,B3_stroma,1
35821117,,,,,B3_stroma,1
35887181,,,,,B3_stroma,1
35893403,,,,,C4_endothelium,1
35893466,,,,,A3_epithelium_limbus,1
35894700,,,,,A3_epithelium_limbus,1
35896678,,,,,C4_endothelium,1
35902874,,,,,B3_stroma,1
35912793,,,,,A3_epithelium_limbus,1
35929237,,,,,B3_stroma,1
35938166,,,,,B3_stroma,1
35947000,,,,,B3_stroma,1
35953672,,,,,D3_full_thickness_multilayer,1
35986035,,,,,A3_epithelium_limbus,1
35999622,,,,,C4_endothelium,1
36015671,,,,,D3_full_thickness_multilayer,1
36040708,,,,,A3_epithelium_limbus;B3_stroma,2
36051248,,,,,C4_endothelium,1
36062606,,,,,C4_endothelium,1
36063670,,,,,A3_epithelium_limbus;B3_stroma,2
36078126,,,,,A3_epithelium_limbus,1
36079096,,,,,C4_endothelium,1
36080636,,,,,D3_full_thickness_multilayer,1
36142906,,,,,C4_endothelium,1
36153307,,,,,B3_stroma,1
36178238,,,,,C4_endothelium,1
36187442,,,,,B3_stroma,1
36190075,,,,,A3_epithelium_limbus,1
36194422,,,,,C4_endothelium,1
36235965,,,,,B3_stroma,1
36239965,,,,,A3_epithelium_limbus;B3_stroma,2
36246012,,,,,C4_endothelium,1
36249679,,,,,B3_stroma,1
36255463,,,,,C4_endothelium,1
36346320,,,,,C4_endothelium,1
36356877,,,,,B3_stroma;D3_full_thickness_multilayer,2
36370413,,,,,A3_epithelium_limbus;B3_stroma,2
36416454,,,,,B3_stroma;D3_full_thickness_multilayer,2
36441906,,,,,B3_stroma,1
36458563,,,,,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3
36497012,,,,,A3_epithelium_limbus;C4_endothelium,2
36499651,,,,,B3_stroma,1
36502465,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
36531590,,,,,C4_endothelium,1
36536596,,,,,C4_endothelium,1
36536960,,,,,C4_endothelium,1
36542355,,,,,C4_endothelium,1
36563893,,,,,B3_stroma;D3_full_thickness_multilayer,2
36564919,,,,,A3_epithelium_limbus,1
36575840,,,,,B3_stroma,1
36579828,,,,,B3_stroma;D3_full_thickness_multilayer,2
36611829,,,,,C4_endothelium,1
36619161,,,,,C4_endothelium,1
36634100,,,,,B3_stroma,1
36638943,,,,,A3_epithelium_limbus;B3_stroma,2
36668685,,,,,B3_stroma,1
36671634,,,,,B3_stroma,1
36708851,,,,,A3_epithelium_limbus,1
36728991,,,,,C4_endothelium,1
36729033,,,,,C4_endothelium,1
36729619,,,,,B3_stroma;D3_full_thickness_multilayer,2
36730305,,,,,B3_stroma,1
36730371,,,,,C4_endothelium,1
36731083,,,,,C4_endothelium,1
36736434,,,,,A3_epithelium_limbus,1
36769200,,,,,C4_endothelium,1
36772078,,,,,A3_epithelium_limbus,1
36775872,,,,,D3_full_thickness_multilayer,1
36790821,,,,,C4_endothelium,1
36796013,,,,,C4_endothelium,1
36834965,,,,,B3_stroma,1
36844364,,,,,A3_epithelium_limbus;B3_stroma,2
36852699,,,,,A3_epithelium_limbus,1
36871853,,,,,B3_stroma,1
36888565,,,,,C4_endothelium,1
36908304,,,,,A3_epithelium_limbus,1
36925678,,,,,B3_stroma,1
36961426,,,,,C4_endothelium,1
36966818,,,,,C4_endothelium,1
36967080,,,,,B3_stroma,1
36989713,,,,,A3_epithelium_limbus;B3_stroma,2
37014650,,,,,B3_stroma,1
37019117,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
37023465,,,,,C4_endothelium,1
37034263,,,,,A3_epithelium_limbus,1
37043981,,,,,B3_stroma,1
37056274,,,,,A3_epithelium_limbus;B3_stroma,2
37059215,,,,,B3_stroma,1
37068490,,,,,B3_stroma,1
37068601,,,,,B3_stroma,1
37074694,,,,,C4_endothelium,1
37079319,,,,,C4_endothelium,1
37080483,,,,,B3_stroma,1
37095881,,,,,B3_stroma,1
37097204,,,,,A3_epithelium_limbus,1
37097884,,,,,B3_stroma,1
37106666,,,,,B3_stroma,1
37126648,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
37146636,,,,,C4_endothelium,1
37163555,,,,,C4_endothelium,1
37167477,,,,,C4_endothelium,1
37209968,,,,,B3_stroma,1
37237859,,,,,A3_epithelium_limbus,1
